Considering the following 242 assemblies for download:
GCF_002446915.1	Mycobacterium tuberculosis
GCF_002446935.1	Mycobacterium tuberculosis
GCF_002446955.1	Mycobacterium tuberculosis
GCF_002446975.1	Mycobacterium tuberculosis
GCF_002446995.1	Mycobacterium tuberculosis
GCF_002447015.1	Mycobacterium tuberculosis
GCF_002447035.1	Mycobacterium tuberculosis
GCF_002447055.1	Mycobacterium tuberculosis
GCF_002447075.1	Mycobacterium tuberculosis
GCF_002447095.1	Mycobacterium tuberculosis
GCF_002447115.1	Mycobacterium tuberculosis
GCF_002447135.1	Mycobacterium tuberculosis
GCF_002447155.1	Mycobacterium tuberculosis
GCF_002447175.1	Mycobacterium tuberculosis
GCF_002447195.1	Mycobacterium tuberculosis
GCF_002447215.1	Mycobacterium tuberculosis
GCF_002447235.1	Mycobacterium tuberculosis
GCF_002447255.1	Mycobacterium tuberculosis
GCF_002447275.1	Mycobacterium tuberculosis
GCF_002447295.1	Mycobacterium tuberculosis
GCF_002447315.1	Mycobacterium tuberculosis
GCF_002447335.1	Mycobacterium tuberculosis
GCF_002447355.1	Mycobacterium tuberculosis
GCF_002447375.1	Mycobacterium tuberculosis
GCF_002447395.1	Mycobacterium tuberculosis
GCF_002447415.1	Mycobacterium tuberculosis
GCF_002447435.1	Mycobacterium tuberculosis
GCF_002447455.1	Mycobacterium tuberculosis
GCF_002447475.1	Mycobacterium tuberculosis
GCF_002447495.1	Mycobacterium tuberculosis
GCF_002447515.1	Mycobacterium tuberculosis
GCF_002447535.1	Mycobacterium tuberculosis
GCF_002447555.1	Mycobacterium tuberculosis
GCF_002447575.1	Mycobacterium tuberculosis
GCF_002447595.1	Mycobacterium tuberculosis
GCF_002447615.1	Mycobacterium tuberculosis
GCF_002447635.1	Mycobacterium tuberculosis
GCF_002447655.1	Mycobacterium tuberculosis
GCF_002447675.1	Mycobacterium tuberculosis
GCF_002447695.1	Mycobacterium tuberculosis
GCF_002447715.1	Mycobacterium tuberculosis
GCF_002447735.1	Mycobacterium tuberculosis
GCF_002447755.1	Mycobacterium tuberculosis
GCF_002447775.1	Mycobacterium tuberculosis
GCF_002447795.1	Mycobacterium tuberculosis
GCF_002447815.1	Mycobacterium tuberculosis
GCF_002447835.1	Mycobacterium tuberculosis
GCF_002447855.1	Mycobacterium tuberculosis
GCF_002447875.1	Mycobacterium tuberculosis
GCF_002447895.1	Mycobacterium tuberculosis
GCF_002447915.1	Mycobacterium tuberculosis
GCF_002447935.1	Mycobacterium tuberculosis
GCF_002447955.1	Mycobacterium tuberculosis
GCF_002447975.1	Mycobacterium tuberculosis
GCF_002447995.1	Mycobacterium tuberculosis
GCF_002448015.1	Mycobacterium tuberculosis
GCF_002448035.1	Mycobacterium tuberculosis
GCF_002448055.1	Mycobacterium tuberculosis
GCF_002448075.1	Mycobacterium tuberculosis
GCF_002448095.1	Mycobacterium tuberculosis
GCF_002448115.1	Mycobacterium tuberculosis
GCF_002448135.1	Mycobacterium tuberculosis
GCF_002448155.1	Mycobacterium tuberculosis
GCF_002448175.1	Mycobacterium tuberculosis
GCF_002448195.1	Mycobacterium tuberculosis
GCF_002448215.1	Mycobacterium tuberculosis
GCF_002886145.1	Mycobacterium tuberculosis
GCF_002886165.1	Mycobacterium tuberculosis
GCF_002886195.1	Mycobacterium tuberculosis
GCF_002886225.1	Mycobacterium tuberculosis
GCF_002886335.1	Mycobacterium tuberculosis
GCF_002886405.1	Mycobacterium tuberculosis
GCF_002886505.1	Mycobacterium tuberculosis
GCF_002886585.1	Mycobacterium tuberculosis
GCF_002886685.1	Mycobacterium tuberculosis
GCF_002886775.1	Mycobacterium tuberculosis
GCF_002886865.1	Mycobacterium tuberculosis
GCF_002886945.1	Mycobacterium tuberculosis
GCF_002887065.1	Mycobacterium tuberculosis
GCF_002887145.1	Mycobacterium tuberculosis
GCF_002887255.1	Mycobacterium tuberculosis
GCF_002887335.1	Mycobacterium tuberculosis
GCF_002975475.1	Mycobacterium tuberculosis variant bovis
GCF_003006115.1	Mycobacterium tuberculosis
GCF_003006135.1	Mycobacterium tuberculosis
GCF_003265005.1	Mycobacterium tuberculosis
GCF_003287125.1	Mycobacterium tuberculosis
GCF_003287145.1	Mycobacterium tuberculosis
GCF_003287165.1	Mycobacterium tuberculosis
GCF_003287185.1	Mycobacterium tuberculosis
GCF_003293655.1	Mycobacterium tuberculosis
GCF_000018345.1	Mycobacterium marinum M
GCF_000723425.2	Mycobacterium marinum E11
GCF_003391395.1	Mycobacterium marinum
GCF_003391415.1	Mycobacterium marinum
GCF_003609695.1	Mycobacterium marinum
GCF_000013925.1	Mycobacterium ulcerans Agy99
GCF_002355775.1	Mycobacterium ulcerans subsp. shinshuense
GCF_000340435.2	Mycobacterium haemophilum DSM 44634
GCF_000253375.1	Mycobacterium canettii CIPT 140010059
GCF_000014165.1	Mycobacterium sp. MCS
GCF_000016005.1	Mycobacterium sp. JLS
GCF_000015405.1	Mycobacterium sp. KMS
GCF_000328565.1	Mycobacterium sp. JS623
GCF_001750065.2	Mycobacterium chimaera
GCF_002166795.1	Mycobacterium chimaera
GCF_002219245.1	Mycobacterium chimaera
GCF_002219265.1	Mycobacterium chimaera
GCF_002219285.1	Mycobacterium chimaera
GCF_002240155.1	Mycobacterium chimaera
GCF_002287605.1	Mycobacterium chimaera
GCF_900116695.1	Mycobacterium chimaera
