Considering the following 400 assemblies for download:
GCF_001902335.1	Klebsiella pneumoniae
GCF_001902355.1	Klebsiella pneumoniae
GCF_001902395.1	Klebsiella pneumoniae
GCF_001902415.1	Klebsiella pneumoniae
GCF_001902435.1	Klebsiella pneumoniae
GCF_001902475.1	Klebsiella pneumoniae
GCF_001902515.1	Klebsiella pneumoniae
GCF_001902535.1	Klebsiella pneumoniae
GCF_001908515.1	Klebsiella pneumoniae
GCF_001908595.1	Klebsiella pneumoniae
GCF_001908625.1	Klebsiella pneumoniae
GCF_001908655.1	Klebsiella pneumoniae
GCF_001908675.1	Klebsiella pneumoniae
GCF_001908695.1	Klebsiella pneumoniae
GCF_001908715.1	Klebsiella pneumoniae
GCF_001908875.1	Klebsiella pneumoniae
GCF_001908895.1	Klebsiella pneumoniae
GCF_001913175.1	Klebsiella pneumoniae
GCF_001922465.1	Klebsiella pneumoniae
GCF_001936035.1	Klebsiella pneumoniae
GCF_001939885.2	Klebsiella pneumoniae
GCF_001952835.1	Klebsiella pneumoniae
GCF_001952875.1	Klebsiella pneumoniae
GCF_001952895.1	Klebsiella pneumoniae
GCF_001952915.1	Klebsiella pneumoniae
GCF_001956965.1	Klebsiella pneumoniae
GCF_002055765.1	Klebsiella pneumoniae
GCF_002055855.1	Klebsiella pneumoniae
GCF_002056385.1	Klebsiella pneumoniae
GCF_002056475.1	Klebsiella pneumoniae
GCF_002113865.1	Klebsiella pneumoniae
GCF_002116885.1	Klebsiella pneumoniae
GCF_002156725.1	Klebsiella pneumoniae
GCF_002156745.1	Klebsiella pneumoniae
GCF_002156785.1	Klebsiella pneumoniae
GCF_002163895.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_002164835.3	Klebsiella pneumoniae
GCF_002164855.2	Klebsiella pneumoniae
GCF_002180075.1	Klebsiella pneumoniae
GCF_002180155.1	Klebsiella pneumoniae
GCF_002180175.1	Klebsiella pneumoniae
GCF_002180255.1	Klebsiella pneumoniae
GCF_002180295.1	Klebsiella pneumoniae
GCF_002180315.1	Klebsiella pneumoniae
GCF_002192315.1	Klebsiella pneumoniae
GCF_002192335.1	Klebsiella pneumoniae
GCF_002192375.1	Klebsiella pneumoniae
GCF_002197225.1	Klebsiella pneumoniae
GCF_002197505.1	Klebsiella pneumoniae
GCF_002202195.1	Klebsiella pneumoniae
GCF_002202215.1	Klebsiella pneumoniae
GCF_002202235.1	Klebsiella pneumoniae
GCF_002202255.1	Klebsiella pneumoniae
GCF_002202275.1	Klebsiella pneumoniae
GCF_002209405.1	Klebsiella pneumoniae
GCF_002211905.1	Klebsiella pneumoniae
GCF_002243445.1	Klebsiella pneumoniae
GCF_002249975.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_002257935.3	Klebsiella pneumoniae
GCF_002258055.2	Klebsiella pneumoniae
GCF_002258145.3	Klebsiella pneumoniae
GCF_002269295.1	Klebsiella pneumoniae
GCF_002278055.1	Klebsiella pneumoniae
GCF_002587165.1	Klebsiella pneumoniae
GCF_002587885.1	Klebsiella pneumoniae
GCF_002591075.1	Klebsiella pneumoniae
GCF_002740955.1	Klebsiella pneumoniae
GCF_002741685.1	Klebsiella pneumoniae
GCF_002752775.1	Klebsiella pneumoniae
GCF_002752815.1	Klebsiella pneumoniae
GCF_002752905.1	Klebsiella pneumoniae
GCF_002752955.1	Klebsiella pneumoniae
GCF_002752975.1	Klebsiella pneumoniae
GCF_002752995.1	Klebsiella pneumoniae
GCF_002753015.1	Klebsiella pneumoniae
GCF_002753035.1	Klebsiella pneumoniae
GCF_002753055.1	Klebsiella pneumoniae
GCF_002753075.1	Klebsiella pneumoniae
GCF_002753165.1	Klebsiella pneumoniae
GCF_002753355.1	Klebsiella pneumoniae
GCF_002753375.1	Klebsiella pneumoniae
GCF_002753405.1	Klebsiella pneumoniae
GCF_002753555.1	Klebsiella pneumoniae
GCF_002753605.1	Klebsiella pneumoniae
GCF_002754835.1	Klebsiella pneumoniae
