Considering the following 229 assemblies for download:
GCF_001865395.1	Campylobacter jejuni
GCF_001865415.1	Campylobacter jejuni
GCF_001865435.1	Campylobacter jejuni
GCF_001865595.1	Campylobacter jejuni subsp. jejuni M129
GCF_001870085.1	Campylobacter jejuni
GCF_001870105.1	Campylobacter jejuni
GCF_001951235.1	Campylobacter jejuni
GCF_001951255.1	Campylobacter jejuni
GCF_001951275.1	Campylobacter jejuni
GCF_001951295.1	Campylobacter jejuni
GCF_001951315.1	Campylobacter jejuni
GCF_001951335.1	Campylobacter jejuni
GCF_002024325.1	Campylobacter jejuni
GCF_002028305.1	Campylobacter jejuni subsp. jejuni
GCF_002101355.1	Campylobacter jejuni
GCF_002209005.1	Campylobacter jejuni subsp. jejuni
GCF_002209025.1	Campylobacter jejuni subsp. jejuni
GCF_002209045.1	Campylobacter jejuni subsp. jejuni
GCF_002209065.1	Campylobacter jejuni subsp. jejuni
GCF_002214785.1	Campylobacter jejuni
GCF_002224325.1	Campylobacter jejuni
GCF_002224385.1	Campylobacter jejuni
GCF_002234455.1	Campylobacter jejuni
GCF_002238375.1	Campylobacter jejuni
GCF_002407125.1	Campylobacter jejuni
GCF_002587105.1	Campylobacter jejuni
GCF_002587225.1	Campylobacter jejuni
GCF_003030185.1	Campylobacter jejuni
GCF_003060725.1	Campylobacter jejuni
GCF_003060745.1	Campylobacter jejuni
GCF_003060765.1	Campylobacter jejuni
GCF_003060785.1	Campylobacter jejuni
GCF_003368045.1	Campylobacter jejuni
GCF_003368065.1	Campylobacter jejuni
GCF_003368085.1	Campylobacter jejuni
GCF_003368105.1	Campylobacter jejuni
GCF_003368125.1	Campylobacter jejuni
GCF_003368145.1	Campylobacter jejuni
GCF_003368165.1	Campylobacter jejuni
GCF_003368185.1	Campylobacter jejuni
GCF_003368205.1	Campylobacter jejuni
GCF_003368225.1	Campylobacter jejuni
GCF_003368245.1	Campylobacter jejuni
GCF_003574945.1	Campylobacter jejuni subsp. jejuni
GCF_003950275.1	Campylobacter jejuni subsp. jejuni
GCF_900475265.1	Campylobacter jejuni subsp. jejuni
GCF_900638165.1	Campylobacter jejuni
GCF_900638175.1	Campylobacter jejuni
GCF_900638185.1	Campylobacter jejuni
GCF_900638195.1	Campylobacter jejuni
GCF_900638205.1	Campylobacter jejuni
GCF_900638225.1	Campylobacter jejuni
GCF_900638235.1	Campylobacter jejuni subsp. jejuni
GCF_900638285.1	Campylobacter jejuni
GCF_900638365.1	Campylobacter jejuni subsp. jejuni
GCF_001643955.1	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260
GCF_001643975.1	Campylobacter hyointestinalis subsp. lawsonii
GCF_000017725.2	Campylobacter concisus 13826
GCF_001298465.1	Campylobacter concisus
GCF_003048375.1	Campylobacter concisus
GCF_000017465.2	Campylobacter curvus 525.92
GCF_000019205.1	Campylobacter lari RM2100
GCF_000816225.1	Campylobacter lari subsp. concheus LMG 11760
GCF_000816365.1	Campylobacter lari NCTC 11845
GCF_000816385.2	Campylobacter lari CCUG 22395
GCF_000816405.1	Campylobacter lari RM16701
